company,jname,jtxt,mount,salary
贵池区世甲酒庄,销售经理,"贵池区,经验不限,学历不限",[30人],5千-1万/月
贵池区世甲酒庄,底薪4800+高提成+奖金,"贵池区,5-10年,学历不限",[5人],5千-1万/月
贵池区世甲酒庄,业务经理,"贵池区,1-3年,高中",[2人],面议
贵池区世甲酒庄,店员,"贵池区,经验不限,高中",[1人],2千-4千/月
贵池区世甲酒庄,市场营销,"贵池区,经验不限,学历不限",[10人],3千-6千/月
安徽省昇茂财务咨询有限公司,人事经理,"贵池区,经验不限,大专",[1人],面议
安徽省昇茂财务咨询有限公司,销售代表,"青阳县,经验不限,学历不限",[若干人],3千-6千/月
安徽省昇茂财务咨询有限公司,外勤会计,"贵池区,经验不限,大专",[1人],1千5-2千5/月
安徽省昇茂财务咨询有限公司,高薪诚聘销售代表,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,电话客服,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,聘销售薪资5000＋,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,昇茂聘销售薪资5000+,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,销售代表,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,诚聘高薪销售,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,电话客服,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,电话销售,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,销售代表,"贵池区,经验不限,学历不限",[若干人],4千-8千/月
安徽省昇茂财务咨询有限公司,诚聘销售代表,"贵池区,经验不限,学历不限",[6人],4千-8千/月
安徽省昇茂财务咨询有限公司,高薪诚聘电话客服,"贵池区,经验不限,高中",[6人],4千-8千/月
安徽齐山房地产开发有限责任公司,项目运营经理,"贵池区,3-5年,大专",[1人],面议
安徽省昇茂财务咨询有限公司,高薪诚聘电话销售,"贵池区,经验不限,高中",[6人],3千-6千/月
安徽省昇茂财务咨询有限公司,高薪诚聘电话销售,"贵池区,经验不限,高中",[6人],4千-8千/月
安徽省昇茂财务咨询有限公司,电话销售,"贵池区/城区,经验不限,学历不限",[6人],4千-8千/月
池州橡树湾服饰有限公司,缝纫学徒工,"贵池区,经验不限,学历不限",[若干人],面议
池州橡树湾服饰有限公司,缝纫工,"贵池区,经验不限,学历不限",[若干人],面议
池州黑马体育健身发展有限公司,私人教练,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州黑马体育健身发展有限公司,会籍顾问,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州众慧财务咨询服务有限公司,电话销售（包住宿）直接电话联系我,"贵池区/城区,经验不限,学历不限",[若干人],2千5-5千/月
池州众慧财务咨询服务有限公司,实习会计（有意向直接电话联系我）,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州众慧财务咨询服务有限公司,财税顾问,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州众慧财务咨询服务有限公司,销售代表,"贵池区/城区,经验不限,学历不限",[若干人],2千5-5千/月
池州煜峰文化旅游发展有限公司,吧台收银员,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州煜峰文化旅游发展有限公司,驾驶员,"贵池区/城区,经验不限,学历不限",[若干人],面议
贵池区禾泰茶餐厅,前台兼服务,"贵池区,经验不限,学历不限",[2人],面议
芜湖智观房地产策划有限公司,行政，策划,"贵池区/城区,经验不限,学历不限",[若干人],面议
芜湖智观房地产策划有限公司,置业销售,"石台县/县城,经验不限,学历不限",[若干人],5千-8千/月
康丽净环保技术有限公司,业务员,"贵池区,经验不限,学历不限",[3人],3千-5千/月
康丽净环保技术有限公司,业务经理,"贵池区,1-3年,学历不限",[若干人],面议
池州市众联商贸有限公司,空调地暖工,"贵池区,1-3年,初中",[4人],4千-8千/月
池州市众联商贸有限公司,销售主管,"贵池区,1-3年,高中",[4人],4千-8千/月
池州市众联商贸有限公司,电话销售,"贵池区,经验不限,高中",[2人],3千-4千5/月
安徽智元互联信息科技有限公司,客户经理,"贵池区,经验不限,大专",[1人],4千-6千/月
安徽智元互联信息科技有限公司,弱电工程设计总监,"贵池区,经验不限,大专",[1人],5千-7千/月
安徽智元互联信息科技有限公司,弱电工程设计员,"贵池区/城区,经验不限,大专",[1人],3千-5千/月
安徽华刃科技有限公司,生产操作工,"贵池区,经验不限,初中",[30人],4千-5千/月
池州市贵池区指南针课外教育学校有限公司,初中物理,"贵池区,经验不限,学历不限",[若干人],2千5-4千5/月
池州市贵池区指南针课外教育学校有限公司,招聘全职老师（初中英语）,"贵池区,1年以下,本科",[2人],2千6-4千/月
浙江链机信息科技有限公司,急聘大厨高薪,"贵池区,3-5年,高中",[2人],5千-6千/月
浙江链机信息科技有限公司,售前客服,"贵池区,1-3年,高中",[5人],4千5-5千/月
浙江链机信息科技有限公司,售后专员（年薪10万）,"贵池区,1-3年,高中",[25人],8千-1万4/月
浙江链机信息科技有限公司,售后客服,"贵池区,1-3年,高中",[25人],8千-1万4/月
安徽笨鸟先飞电子商务发展有限公司,英文客服,"贵池区/城区,经验不限,大专",[5人],6千-7千/月
池州简凡汽车美容服务有限公司,高薪诚聘洗车阿姨,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州简凡汽车美容服务有限公司,高薪诚聘洗车美容技师,"贵池区/城区,经验不限,学历不限",[若干人],3千-5千/月
池州市天福商贸中心,导购员,"贵池区/城区,1-3年,初中",[若干人],面议
安徽蓝色海湾信鸽文化发展有限公司,驾驶员兼信鸽饲养人员,"贵池区/乡镇,经验不限,高中",[10人],3千5-4千5/月
安徽蓝色海湾信鸽文化发展有限公司,财务会计,"贵池区,1-3年,大专",[1人],3千-3千5/月
安徽蓝色海湾信鸽文化发展有限公司,棚内清洁工,"贵池区,经验不限,学历不限",[10人],2千5/月
中通服建设有限公司,通信维护员,"青阳县,1年以下,高中",[若干人],3千5-4千5/月
池州市柯林斯教育咨询服务中心,少儿英语教师,"贵池区,1年以下,大专",[2人],4千-6千/月
池州市柯林斯教育咨询服务中心,少儿作文老师,"贵池区,1年以下,大专",[2人],4千-6千/月
安徽九华山投资开发集团有限公司,出纳,"九华山,1-3年,中专",[1人],2千-2千5/月
安徽九华山投资开发集团有限公司,会计,"九华山,1-3年,大专",[若干人],面议
安徽九华山投资开发集团有限公司,财务经理,"九华山,3-5年,大专",[若干人],面议
池州月新绣品有限公司,印花刮板师傅,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州月新绣品有限公司,绣花工,"贵池区/城区,经验不限,学历不限",[若干人],面议
池州星云飞渡影视文化传媒,文案人员,"贵池区/城区,经验不限,大专",[2人],面议
池州星云飞渡影视文化传媒,影视后期制作人员,"贵池区/城区,经验不限,学历不限",[5人],3千-6千/月
池州星云飞渡影视文化传媒,影视拍摄人员,"贵池区/城区,经验不限,学历不限",[5人],2千-4千/月
安徽华安电力建设有限公司,电力工程项目管理,"贵池区,1-3年,大专",[5人],面议
安徽华安电力建设有限公司,行政文员,"贵池区,1-3年,大专",[1人],面议
池州市贵池区太阳新城幼儿园,太阳新城幼儿园幼师,"贵池区,经验不限,学历不限",[若干人],2千-4千/月
池州市贵池区太阳新城幼儿园,幼师,"贵池区,经验不限,学历不限",[2人],2千-4千/月
兴和食品有限责任公司,驾驶员,"贵池区,1-3年,学历不限",[1人],面议
兴和食品有限责任公司,送货员,"贵池区,经验不限,学历不限",[2人],2千-3千/月
池州志合房地产营销策划有限公司,一手房销售,"贵池区/城区,经验不限,学历不限",[若干人],3千-5千/月
池州伟星管材销售有限公司,业务员,"贵池区/城区,1-3年,高中",[5人],3千-6千/月
池州伟星管材销售有限公司,店员,"贵池区/城区,经验不限,高中",[4人],2千-4千/月
安徽秋浦河旅游股份有限公司,售票员,"石台县,经验不限,高中",[2人],2千-3千/月
安徽秋浦河旅游股份有限公司,客户经理,"石台县,经验不限,大专",[5人],3千-6千/月
安徽秋浦河旅游股份有限公司,餐厅服务员,"石台县,经验不限,学历不限",[5人],2千-3千/月
格林豪泰（长江南路店）,销售经理,"贵池区/城区,经验不限,学历不限",[若干人],2千5-3千5/月
格林豪泰（长江南路店）,前台接待,"贵池区/城区,经验不限,学历不限",[若干人],2千-3千/月
橄榄树美容服务有限公司,美容师,"贵池区,经验不限,学历不限",[99人],5千-1万/月
橄榄树美容服务有限公司,美容师,"贵池区,经验不限,学历不限",[若干人],3千-5千/月
安徽顺丰速运有限公司池州分公司,高峰期小时工,"贵池区,经验不限,学历不限",[若干人],3千-4千/月
安徽顺丰速运有限公司池州分公司,大货车司机,"贵池区,5-10年,学历不限",[1人],面议
安徽顺丰速运有限公司池州分公司,储备高峰期仓管、收派员,"贵池区,无经验,高中",[若干人],面议
池州市卓尔服饰有限公司,生产管理,"贵池区,1-3年,学历不限",[2人],面议
池州市卓尔服饰有限公司,网站运营,"贵池区,经验不限,学历不限",[2人],面议
池州市卓尔服饰有限公司,裁剪师,"贵池区,1-3年,学历不限",[2人],面议
池州市卓尔服饰有限公司,专业服装制版师,"贵池区/乡镇,经验不限,学历不限",[2人],5千-5千5/月
池州市卓尔服饰有限公司,专职会计,"贵池区/乡镇,1-3年,大专",[1人],3千5-4千5/月
安徽博洋钢结构安装工程有限公司,文员,"贵池区,1-3年,大专",[1人],2千-3千/月
安徽博洋钢结构安装工程有限公司,气保焊电焊工,"贵池区/乡镇,经验不限,学历不限",[若干人],面议
安徽博洋钢结构安装工程有限公司,钢构火焰切割机剪板师傅,"贵池区,经验不限,学历不限",[若干人],面议
安徽博洋钢结构安装工程有限公司,保安,"贵池区,经验不限,学历不限",[若干人],1千8-2千/月
池州百维度信息技术有限公司,销售顾问,"贵池区,经验不限,中专",[8人],3千-5千/月
池州百维度信息技术有限公司,销售主管,"贵池区,3-5年,大专",[5人],5千-1万/月
池州百维度信息技术有限公司,网络客服,"贵池区,1-3年,大专",[2人],3千-5千/月
池州百维度信息技术有限公司,人事专员,"贵池区,1-3年,大专",[1人],2千-3千/月
池州百维度信息技术有限公司,网站程序员,"贵池区,1-3年,大专",[若干人],5千-1万/月
池州市安安精工铝业有限公司,普工,"贵池区,经验不限,学历不限",[99人],4千-6千/月
池州市安安精工铝业有限公司,仓管,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,质量工程师（汽配）,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,模具仓库管理员,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,环保助理,"贵池区,1-3年,大专",[1人],4千-5千/月
池州市安安精工铝业有限公司,品质工程主管,"贵池区,经验不限,学历不限",[1人],面议
池州市安安精工铝业有限公司,质检员,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,车间统计,"贵池区,经验不限,高中",[3人],3千-4千/月
池州市安安精工铝业有限公司,会计,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,氧化机修,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,研发部技术助理,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,行政助理,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,电工,"贵池区,经验不限,学历不限",[5人],面议
池州市安安精工铝业有限公司,外贸业务内勤,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,理化员,"贵池区,经验不限,学历不限",[若干人],面议
池州市安安精工铝业有限公司,抛模,"贵池区,经验不限,学历不限",[若干人],面议
青阳县金芙蓉农林生态专业合作社,办公室主任,"青阳县,1-3年,大专",[1人],面议
青阳县金芙蓉农林生态专业合作社,业务员,"青阳县,1-3年,高中",[10人],面议
