address,company,jname,jtxt,mount,salary
,麦言茶语烘焙,渠道业务精英,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘5人,1K-10K
(齐山公园671仓库),池州市天勤商贸中心,文员,学历不限 / 经验2年以上 / 性别不限 / 年龄不限,招聘1人,薪资面议
,麦言茶语烘焙,面包中工/学徒,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,1K-4K
(恒泰家和园12号楼507-509室),池州市顺丰房地产经纪有限公司,房产置业顾问,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘50人,5K-150K
,麦言茶语烘焙,营业员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘6人,2K-5K
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,初中语文数学教师,大专 / 经验1年以上 / 性别不限 / 年龄不限,招聘3人,面议
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,初中物理 教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘1人,面议
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,高中数学教师,本科 / 经验3年以上 / 性别不限 / 年龄不限,招聘3人,面议
(池州市贵池区长江南路688号（财富广场）六楼),学林教育,少儿英语教师,大专 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,面议
(恒泰家和园12号楼),池州市顺丰房地产经纪有限公司,房产经纪人,学历不限 / 经验不限 / 性别不限 / 25～48岁,招聘10人,2K-15K
(池州西湖家园),深圳市天健物业管理有限公司池州分公司,客服,高中 / 经验不限 / 性别女 / 18～35岁,招聘若干人,2K-3K
(池州经济技术开发区凤金光大道88号，安芯电子科技有限公司（20路公交至富安产业园站下）),安徽芯旭半导体有限公司,工艺工程师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘3人,面议
(池州市经济技术开发区凤金光大道88号，安芯电子科技有限公司（20路公交至富安产业园站下）),安徽芯旭半导体有限公司,企业文员,大专 / 经验1年以上 / 性别女 / 25～35岁,招聘1人,薪资面议
(池州市金光大道88号（20路公交富安工业园站下）),安徽芯旭半导体有限公司,出纳,大专 / 经验1年以上 / 性别不限 / 20～40岁,招聘2人,薪资面议
(池州市三台路150号（花鸟市场对面）),池州市天勤商贸中心,驾驶员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
(池州经济技术开发区金光大道88号（可坐20路公交富安工业园站下）),安徽芯旭半导体有限公司,品质检验员,高中 / 经验不限 / 性别不限 / 18～40岁,招聘1人,3K-4K
(池州经济技术开发区金光大道88号（可坐20路公交富安工业园站下）),安徽芯旭半导体有限公司,一线操作工,初中 / 经验不限 / 性别不限 / 18～45岁,招聘60人,3K-6K
(池州市站前区世纪广场10号楼116室),池州正建工程管理服务有限公司,办公室文秘,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘1人,薪资面议
(池州市贵池区梅里工业园),池州市三友家具批发市场,家庭教师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,薪资面议
(池州市贵池区梅里工业园),池州市三友家具批发市场,男 女 临时工,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘若干人,薪资面议
(池州市金光大道88号（20路公交富安工业园站下）),安徽芯旭半导体有限公司,品质工程,大专 / 经验1年以上 / 性别男 / 22～35岁,招聘1人,面议
(池州市贵池区梅里工业园),池州市三友家具批发市场,三轮电瓶车送货员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘4人,3K-5K
(池州市贵池区梅里工业园),池州市三友家具批发市场,文员 兼 销售助理,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-3K
(池州市经济技术开发区凤金光大道88号，安芯电子科技有限公司（20路公交至富安产业园站下）),安徽芯旭半导体有限公司,采购助理,中专 / 经验1年以上 / 性别女 / 20～32岁,招聘1人,薪资面议
(池州市经济技术开发区临港园区，集装箱码头对面),池州市天工预拌商品砂浆有限公司,搅拌楼操作员,学历不限 / 经验不限 / 性别不限 / 22～45岁,招聘1人,薪资面议
(池州市贵池区梅里工业园),池州市三友家具批发市场,货车驾驶员,初中 / 经验1年以上 / 性别不限 / 年龄不限,招聘6人,3K-5K
(池州市贵池区殷汇大道与白浦路),安徽鸿叶集团有限公司,业务外贸员,大专 / 经验应届毕业生 / 性别不限 / 20～40岁,招聘1人,薪资面议
,麦言茶语烘焙,店长,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,3K-7K
(池州市贵池区殷汇大道与白浦路),安徽鸿叶集团有限公司,仓库管理员,初中 / 经验不限 / 性别不限 / 20～50岁,招聘1人,2K-3K
(池州市贵池区梅里工业园),池州市三友家具批发市场,物流经理+货车驾驶员,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,8K-10K
,池州市捷途汽车销售服务有限公司,客户体验师,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘10人,4K-5K
(安徽池州市中央广场2号楼2007室),安徽成文财务管理咨询有限公司,审计助理,学历不限 / 经验不限 / 性别不限 / 年龄不限,招聘2人,2K-3K
(梅里工业园（老厂）池州开发区（新厂）),池州德特机电设备有限公司,生产部文员,大专 / 经验1年以上 / 性别女 / 23～35岁,招聘1人,2K-3K
(安徽池州市中央广场2号楼2007室),安徽成文财务管理咨询有限公司,制证会计,大专 / 经验1年以上 / 性别不限 / 年龄不限,招聘2人,3K-5K
